Name,OOB
V14,0.55170333
V17,0.07131075
V10,0.029788963
V4,0.027575685
V12,0.02624756
Scaled_Amount,0.021683093
V7,0.02069441
V21,0.019929718
V20,0.018491736
V5,0.01700607
V8,0.016990367
V16,0.01665752
V19,0.014209345
V27,0.014037509
V15,0.01308118
V2,0.012104546
V3,0.011353129
V22,0.009953387
V28,0.009670395
Scaled_Time,0.009546782
V11,0.009492903
V25,0.008711591
V13,0.008688114
V1,0.0086448975
V18,0.008279907
V26,0.0063391975
V9,0.0054076663
V6,0.004678298
V24,0.0038641165
V23,0.0038577765
